C3C4HZ01	C3C4HZ15	C3C4HZ31	CZPOHZ26	CZPOHZ36	CZPOHZ37	F3CZHZ06	F3CZHZ07	F3CZHZ10	F3CZHZ16	F3CZHZ28	FZC3HZ01	FZC3HZ06	FZC3HZ08	FZC3HZ13	FZC3HZ15	FZPOHZ04	FZPOHZ10	FZPOHZ16	FZPOHZ28	FZPOHZ40	PROB3	PROB7	PROB8	rC34Hz08	rC34Hz15	rC34Hz16	rCPOHz16	rCPOHz32	rCPOHz34	rCPOHz38	rCPOHz40	rF3CHz12	rF3CHz20	rFC3Hz17	rFC3Hz30	rFPOHz33	rFPOHz35
7.924083063996580E+00	-1.549777272378120E+00	-1.540751345637490E-01	4.989781174726350E-01	2.932588191269970E-01	9.966857660139110E-02	-7.781585505158930E-01	-4.361795399789910E-01	-3.387094404351670E-01	-3.644255958003110E-03	8.287852787154400E-02	-2.392987219311010E+00	-1.409892224547110E-01	1.556058027356000E-01	2.633583412498810E-01	2.190522021405010E-01	-1.572498307150910E+00	4.340050775088350E-01	-4.093856706336820E-01	2.827204711067730E-01	1.996725414550090E-01	-4.831530055915900E-01	-4.834433847104120E-01	6.718422541410790E-02	2.279877549384000E-01	-1.675025991353550E+00	-1.598102616232780E-01	-5.801249588860760E-01	1.103412138706330E-01	-2.483480587594980E-01	-4.414020849025470E-01	4.532754926026280E-02	-2.504720397052160E-01	-4.319345678051290E-01	-2.633604569023170E-01	2.522004758842550E-01	4.486111028181430E-01	7.339143043876790E-01
-1.549777272378120E+00	4.501763553861430E+01	-3.732695634636530E+00	-2.346906404964480E+00	-4.215079037265140E-01	-2.241512878421550E+00	-1.016680113865870E+00	-2.768273856420710E+00	-4.174020115160900E+00	-2.684222813198110E+00	-2.350327888710520E+00	3.116412583935020E-01	-8.177176028952470E-01	-3.853742310836550E+00	-5.299266315170780E+00	-7.181793256984310E+00	-8.351935341345120E-01	-7.737259566115870E-01	1.388102416079850E+00	5.222549137498580E-02	-5.180946997261990E-02	1.088083626342760E+00	9.149247525090310E-01	8.834767789927270E-01	-2.905203223264720E+00	3.886010892160600E+01	-3.719763607563050E+00	1.867353782530330E+00	5.181415486816440E-01	-1.640230226584410E-02	-1.972885411678590E+00	-7.979544056705830E-01	1.348618892559920E+00	7.730751136959500E-01	2.404912425788220E+00	-2.925047906267790E+00	1.226152842993550E+00	-1.127181236203480E+00
-1.540751345637490E-01	-3.732695634636530E+00	9.471911040453390E+00	-5.246712369902980E-02	-5.130569966770110E-01	2.103853846042900E-02	-1.915313543722050E-01	-1.294099297731550E-01	-3.220025725645860E-01	-3.708708625257270E-01	-6.366641784922280E-01	-6.054487296824320E-02	-8.547746481944440E-01	-4.447454139122040E-01	-2.359083649162190E-01	-7.000485411860400E-01	-5.259253944814660E-01	-2.747311246927440E-01	1.270615024353780E-01	2.283190065501510E-01	-8.632107124082050E-02	-3.628389816750690E-02	7.636155045934590E-03	-1.224825983329040E-01	-1.630698729979410E-01	-3.846690005551700E+00	4.017422901587650E-01	-2.634959921603790E-01	6.866736774983060E-01	7.604927285017380E-01	4.446050217930010E-01	2.209855378531850E-01	-3.955152824052120E-01	2.082165342655330E-01	-1.875527293674560E-02	3.742476565198040E+00	3.125316230636900E-01	-1.248397220906990E-01
4.989781174726350E-01	-2.346906404964490E+00	-5.246712369903070E-02	1.010484004907620E+01	-4.884874288521080E-01	-8.174534337668260E-01	-1.861138767712320E-02	-1.239313666373670E-01	-6.567669325367950E-02	-2.087454360196760E-01	-1.893526262932430E+00	-7.076783583082740E-02	1.534149863223680E-01	2.144866005794990E-01	-4.294751954164930E-01	-1.212193641489130E-01	-2.088393362246950E-01	-6.974560549975850E-03	-1.911680509503020E+00	-1.657352214148940E+00	-1.030098441156070E+00	9.229327244353060E-01	6.674878718762200E-01	8.017637615937930E-01	-6.122606677335220E-02	-1.918308155671810E+00	6.433430970523770E-01	-1.002685509069760E+00	-3.551372472095600E-02	-4.497148954430160E-02	2.184391076091050E-01	-3.378271142429790E-01	4.391554527009540E-01	4.932458372727370E-01	1.000407578652350E-01	-1.456694841225820E-01	4.122082335163840E-01	4.147918803823840E-01
2.932588191269960E-01	-4.215079037265090E-01	-5.130569966770130E-01	-4.884874288521100E-01	1.805973049653820E+01	-1.089061943817520E+01	-1.596033815472510E-01	-6.042969559181100E-01	-7.605462058364000E-02	-3.525838042148650E-01	-7.133971959323880E-02	2.397926940986700E-01	-7.365356108610170E-01	6.327820004118450E-02	-1.350423759107590E-02	2.813396191303570E-01	-6.763292644162630E-01	-8.257574645304430E-01	-1.962573324221000E+00	-5.837513769385180E-01	-1.534922300392410E+00	1.380571982449250E-01	5.474347330263800E-01	-1.459881189837730E-01	-3.261010196841940E-02	-4.467099962080160E-02	-4.327603409514990E-01	-1.465506626098620E+00	1.667142060883280E-01	-5.778843637938560E-01	-2.753052600592200E+00	6.553423696512670E-01	2.963252020152210E-01	-1.190878347574590E-01	-4.434237090659250E-01	-7.676571902904700E-02	-1.907921106490000E-01	6.693665586026470E+00
9.966857660139110E-02	-2.241512878421560E+00	2.103853846043130E-02	-8.174534337668260E-01	-1.089061943817520E+01	1.975629049404880E+01	-4.153334265178210E-01	1.416026083480380E-01	-2.681867286858810E-02	3.504580526927620E-01	7.013275059432220E-02	-7.670514779752640E-02	1.375257399333300E-01	-1.898691518415360E-01	3.666928310147240E-01	4.627878089094040E-01	-3.543476745945540E-01	-1.129450348391550E+00	-2.275773718783610E+00	-5.955375777391940E-01	-2.601779840040400E+00	1.419311381191140E+00	9.868869187762190E-01	1.289964104695210E+00	9.258463157195030E-03	-2.359909305487700E+00	5.858929351868490E-01	-1.748170578049400E+00	3.057220379264820E-01	3.680336920401880E-01	8.714687073589370E+00	-2.316602698976740E+00	-2.138554535109950E-01	1.863181906236130E-01	-1.231898469620070E-01	4.301885011390230E-01	6.325138915313870E-01	-2.185886781653180E+00
-7.781585505158940E-01	-1.016680113865870E+00	-1.915313543722050E-01	-1.861138767712360E-02	-1.596033815472510E-01	-4.153334265178210E-01	1.328799709420940E+01	-6.531956605084710E+00	-2.415984094836400E-03	-6.670222770872120E-01	-7.969235825966820E-02	-1.822529493759070E-01	-1.490768141864170E+00	-8.031172325854800E-02	5.893887501220100E-01	-3.979337251601020E-01	-1.193125397604670E+00	6.286194789852330E-01	-1.554092001256290E-01	5.795835727375570E-01	5.681705639307240E-02	1.010087229589890E-02	1.665929973796570E-01	1.008788461643760E+00	-8.460744398275110E-01	-1.505235881219410E+00	-8.123220316616990E-01	-1.169121102902000E-01	8.177519752726310E-01	-4.164985703403100E-02	-3.259693141736390E-01	-4.399967243758930E-01	-1.207131314094700E+00	-9.370861032191930E-01	4.314182470051680E-01	5.286569805821850E-02	-2.836605923237170E-01	-2.263045367663230E-01
-4.361795399789900E-01	-2.768273856420710E+00	-1.294099297731550E-01	-1.239313666373660E-01	-6.042969559181100E-01	1.416026083480380E-01	-6.531956605084710E+00	1.368684491563110E+01	-4.036887083028480E-01	-1.788254694034800E-01	-1.584144562385930E-01	3.573113332871650E-01	-5.851940692037570E-01	-1.159212922195250E+00	-2.187017569621620E-02	1.120967912192440E-01	1.016745953073220E-01	8.241025910695610E-02	-9.014293324507310E-01	1.458714067551160E-01	-2.122369271223100E-01	-1.413227718943390E+00	-1.404375736070080E+00	-9.464553252301980E-01	2.016174229017940E+00	-2.502085804318730E+00	2.477789019962990E-02	-4.428929526304030E-01	-2.064755439701130E-01	6.193772052503520E-01	-1.925778401583070E-01	-2.184256330870080E-01	-1.082616606731710E+00	-4.330732065890680E-01	1.448311846842700E-01	3.985263433237560E-01	1.608567727483520E-01	-5.257497760171910E-01
-3.387094404351670E-01	-4.174020115160900E+00	-3.220025725645860E-01	-6.567669325368020E-02	-7.605462058363950E-02	-2.681867286858790E-02	-2.415984094836700E-03	-4.036887083028480E-01	1.014480307463260E+01	-2.244022963895280E-01	-4.209936185810680E-01	1.640312964392220E-01	3.969175411052810E-01	-1.078147612290280E+00	-1.547967292383420E-01	-1.146584208804710E-01	2.494442360164120E-01	-3.516516517522720E+00	1.063768781733960E-02	-4.509812806870110E-01	-4.049503291823210E-01	8.472091255541020E-01	1.122270221596980E+00	1.624541269752160E+00	1.889379027500890E-01	-4.082369067131240E+00	1.557962928206280E-01	-1.458096908495320E-01	4.479111549300410E-02	3.171494185050850E-01	5.908892561179580E-01	-5.820488790753000E-01	-3.858072138494290E-01	-1.272254170198080E+00	1.407204148487220E-01	2.134973760153650E-01	-3.609225875596760E-01	-7.807321285164010E-01
-3.644255958003050E-03	-2.684222813198120E+00	-3.708708625257250E-01	-2.087454360196760E-01	-3.525838042148640E-01	3.504580526927610E-01	-6.670222770872120E-01	-1.788254694034790E-01	-2.244022963895270E-01	1.055168533991620E+01	-1.673529077144800E+00	-6.099717838370960E-01	8.504854078772830E-02	-8.529629141732450E-01	-3.875414495810220E-01	-2.264659782646040E-01	2.824617358515850E-01	4.673023105674040E-01	-3.969773411395300E+00	5.787969653567830E-01	-4.453627713830810E-01	-7.061717291275610E-01	-5.277985116726240E-01	-3.884808745753710E-01	9.109233429231120E-02	-1.856766966566490E+00	1.870626459905020E+00	-1.759340868669510E+00	1.498591777742770E-01	6.057745132915250E-01	-7.879509626238390E-02	-5.682506984486170E-01	-8.805367626519790E-01	1.124850996653980E+00	2.705203129451210E-01	7.991063400693890E-01	3.314780580344910E-02	-1.623372536668230E-01
